epoch,train_loss,val_loss,train_acc,val_acc
1,4.494,4.22,0.044,0.082
2,3.669,3.359,0.193,0.221
3,2.861,2.751,0.357,0.356
4,2.307,2.445,0.513,0.444
5,1.989,2.328,0.617,0.493
6,1.8,2.233,0.688,0.527
7,1.657,2.181,0.734,0.549
8,1.517,2.156,0.796,0.555
9,1.456,2.133,0.82,0.57
10,1.371,2.116,0.846,0.572
11,1.3,2.131,0.879,0.574
12,1.277,2.109,0.875,0.587
13,1.26,2.041,0.889,0.605
14,1.228,2.071,0.9,0.605
15,1.231,2.145,0.9,0.58
16,1.183,2.074,0.904,0.605
17,1.114,2.026,0.934,0.623
18,1.083,2.025,0.943,0.634
19,1.083,2.027,0.949,0.627
20,1.065,2.043,0.947,0.626
