epoch,train_loss,val_loss,train_acc,val_acc
1,5.433,4.302,0.03,0.104
2,3.011,3.256,0.283,0.298
3,1.48,2.484,0.624,0.416
4,0.712,2.499,0.825,0.463
5,0.425,2.231,0.906,0.489
6,0.261,2.085,0.945,0.501
7,0.188,2.113,0.964,0.504
8,0.151,2.476,0.972,0.518
9,0.121,2.018,0.97,0.518
10,0.09,2.041,0.982,0.523
11,0.091,2.262,0.981,0.534
12,0.089,2.191,0.981,0.545
13,0.064,2.194,0.988,0.533
14,0.074,2.737,0.986,0.545
15,0.08,2.49,0.988,0.544
16,0.096,2.844,0.978,0.533
17,0.089,2.429,0.982,0.541
18,0.069,2.72,0.988,0.55
19,0.108,3.063,0.973,0.542
20,0.072,2.04,0.982,0.552
