               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094792,             0.10337,            0.057638,             0.11503,              0.1859,             0.04308,            0.015659,            0.067546,             0.12831,             0.04303,            0.070714,            0.003254,            0.003254
                   1,             0.07021,            0.089895,            0.041897,             0.40406,             0.19396,            0.086167,            0.034591,             0.05994,            0.080493,            0.033434,            0.040649,           0.0065221,           0.0065221
                   2,            0.065459,             0.08726,            0.034919,              0.6679,             0.21273,             0.10647,            0.046308,            0.054158,              0.0837,            0.028362,            0.010518,           0.0097242,           0.0097242
                   3,            0.055132,            0.084956,            0.031821,              0.7028,             0.25675,             0.15443,             0.06683,            0.052079,            0.080817,            0.027751,            0.009703,            0.009703,            0.009703
                   4,            0.048963,            0.084275,            0.029912,             0.60014,             0.23472,             0.16036,            0.081395,            0.046207,            0.083776,             0.02592,            0.009703,            0.009703,            0.009703
                   5,            0.045643,            0.083808,            0.028674,             0.74427,             0.22223,             0.20636,             0.10888,            0.044039,            0.081412,            0.025685,            0.009604,            0.009604,            0.009604
                   6,            0.044203,              0.0812,            0.026903,              0.5306,             0.32552,             0.20848,             0.11485,            0.044211,            0.090441,            0.025782,            0.009505,            0.009505,            0.009505
                   7,            0.042608,            0.078951,            0.025497,             0.68558,             0.26259,             0.24222,             0.13472,            0.042473,            0.077909,            0.022632,            0.009406,            0.009406,            0.009406
                   8,            0.041235,            0.078238,            0.023853,             0.59788,             0.32716,             0.22392,             0.12111,            0.042957,             0.08851,             0.02472,            0.009307,            0.009307,            0.009307
                   9,            0.041384,            0.077874,            0.022555,             0.64722,             0.32778,             0.27999,             0.15228,            0.042293,            0.078217,            0.021247,            0.009208,            0.009208,            0.009208
                  10,            0.040185,            0.078202,            0.020688,             0.62476,             0.33148,             0.26001,             0.15151,            0.039455,            0.088761,            0.022747,            0.009109,            0.009109,            0.009109
                  11,             0.04015,            0.077503,            0.019172,             0.67792,             0.30659,             0.30568,             0.17659,            0.043693,            0.081778,            0.021328,             0.00901,             0.00901,             0.00901
                  12,            0.038974,            0.074314,            0.018332,             0.64065,             0.30704,             0.33308,              0.1867,            0.042199,            0.078946,            0.020427,            0.008911,            0.008911,            0.008911
                  13,            0.038427,            0.073944,            0.017317,              0.6431,             0.32552,             0.36441,             0.22667,            0.037617,            0.082981,            0.021027,            0.008812,            0.008812,            0.008812
                  14,            0.037706,             0.07422,            0.016735,             0.49145,             0.38359,             0.35979,             0.21651,            0.038147,            0.080368,            0.021636,            0.008713,            0.008713,            0.008713
