,file_name,x1,y1,w,h
0,kiwi_1.jpg,0.0,29.22,251.91,191.06
1,kiwi_1.jpg,102.27,199.74,192.79,107.54
2,kiwi_1.jpg,245.99,0.68,213.33,100.93
3,kiwi_1.jpg,265.83,57.76,205.67,182.7
4,kiwi_2.jpg,186.13,23.4,157.78,154.28
5,kiwi_2.jpg,8.81,8.74,163.01,192.33
6,kiwi_2.jpg,132.7,162.7,166.18,149.02
7,kiwi_3.jpg,391.27,106.11,356.75,398.12
8,kiwi_3.jpg,32.72,91.12,368.14,337.57
9,kiwi_4.jpg,419.42,189.47,289.31,308.96
10,kiwi_4.jpg,166.27,309.75,367.93,310.53
11,kiwi_4.jpg,43.63,158.02,382.08,303.46
12,kiwi_5.jpg,238.73,84.38,218.03,249.48
13,kiwi_5.jpg,165.36,189.73,233.75,222.22
14,kiwi_5.jpg,38.52,142.03,202.31,204.41
15,kiwi_6.jpg,73.13,63.29,57.0,56.78
16,kiwi_6.jpg,114.76,69.82,55.44,60.23
17,kiwi_6.jpg,110.54,10.0,45.26,61.73
18,kiwi_6.jpg,57.79,9.01,52.75,57.35
19,kiwi_6.jpg,49.16,113.55,71.35,62.54
20,kiwi_6.jpg,0.24,103.0,49.11,67.52
21,kiwi_6.jpg,7.72,54.66,55.82,56.01
22,kiwi_6.jpg,16.35,16.3,46.81,44.69
23,kiwi_6.jpg,0.0,0.76,27.1,51.02
24,kiwi_6.jpg,0.05,56.39,18.8,58.7
25,kiwi_6.jpg,54.14,0.57,64.46,22.82
26,kiwi_7.jpg,684.58,90.83,459.17,435.0
27,kiwi_7.jpg,432.92,337.5,401.66,410.83
28,kiwi_7.jpg,162.92,342.5,284.16,344.17
29,kiwi_7.jpg,254.58,60.0,472.5,411.67
